actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
4,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,215.616,1231.173,1015.557
5,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,202.997,1220.126,1017.129
6,P1,1,2,0,1,1,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,230.844,1300.361,1069.516
7,P1,1,2,0,1,1,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,216.632,1232.874,1016.242
8,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,195.243,1210.62,1015.376
9,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,184.641,1197.904,1013.264
10,P1,1,2,0,1,1,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,208.486,1203.226,994.741
11,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,212.763,1256.284,1043.522
12,P1,0,1,0,1,0,0,1,0,charge,1,1002-B-sp+al-all-c9beb6ef2,1002,231.634,1266.421,1034.787
13,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,608.312,1111.225,502.913
14,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,612.017,1099.627,487.61
15,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,620.841,1049.408,428.567
16,P2,1,2,0,1,1,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,645.296,1116.862,471.566
17,P2,0,3,0,1,2,1,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,643.254,1158.639,515.384
18,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,624.206,1062.804,438.598
19,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,619.656,1126.212,506.556
20,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,611.956,1131.664,519.708
21,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,635.149,1117.612,482.463
22,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,646.213,1161.68,515.467
23,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,603.538,1071.373,467.835
24,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,612.73,1145.042,532.312
25,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,603.932,1064.448,460.516
26,P2,1,2,0,1,1,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,610.972,1108.955,497.982
27,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,651.505,1084.052,432.547
28,P2,0,1,0,1,0,0,1,0,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,628.232,1112.732,484.5
29,P2,0,2,0,1,1,0,1,1,swap,1,1002-B-sp+al-all-c9beb6ef2,1002,659.501,1162.676,503.175
